Codigo, Nombre, precio mayor, precio mayor2, precio menor, precio menor 2, cantidad mayor
POTR14,PIEDRA OJO DE TIGRE ROMBO 14 x 14,8.50,8.50,10.63,8.50,6
POTR19,PIEDRA OJO DE TIGRE ROMBO 19 x 29,11.50,11.50,14.38,11.50,6
POTR25,PIEDRA OJO DE TIGRE ROMBO 25 x 35,13.50,13.50,16.88,13.50,6
PIDOTT,PIEDRA OJO DE TIGRE TUBO,5.50,5.50,6.88,5.50,6
PIOTTP,PIEDRA OJO DE TIGRE TUBO PEQ.,4.50,4.50,5.63,4.50,6
POGT,PIEDRA OVALADA GRANDE T,14.00,14.00,17.50,14.00,6
POGUN,PIEDRA OVALADA GRANDE UN,1.40,1.40,1.75,1.40,6
PIEVMO,PIEDRA VARIOS MODELOS ONIX,5.00,5.00,6.25,5.00,6
PIVB10,PIEDRA VITRO FUSION BOLA # 10,4.50,4.50,5.63,4.50,6
PIVB12,PIEDRA VITRO FUSION BOLA # 12,4.50,4.50,5.63,4.50,6
PIVG12,PIEDRA VITRO FUSION GOTA 12x20,0.23,0.23,0.23,0.23,6
PIVT10,PIEDRA VITRO FUSION TUBO 10x10,4.50,4.50,5.63,4.50,6
PVB10N,PIEDRA VITRO-FUSION BOLA # 10 NUEVA,4.90,4.90,5.88,4.90,6
PPHG,PINZ.  PARA HUECO GRANDE,4.50,4.50,5.63,4.50,6
PINZALI,PINZA ALICATE,1.25,1.25,1.57,1.25,6
PINZBFI,PINZA DE BISUTERIA FINA,0.60,0.60,0.76,0.60,6
PINFPP,PINZA FINA PUNTA PLANA,1.25,1.25,1.50,1.25,6
PINFPR,PINZA FINA PUNTA REDONDA,1.25,1.25,1.57,1.25,6
PINMUL,PINZA MULTIUSO,2.00,2.00,2.40,2.00,6
PINZAE,PINZA PARA ELASTICO,0.25,0.25,0.31,0.25,6
PPHH,PINZA PARA HACER HUECOS,3.50,3.50,4.20,3.50,6
PINPPL,PINZA PUNTA PLANA,1.40,1.40,1.75,1.40,6
PINPR,PINZA PUNTA REDONDA,1.68,1.68,2.10,1.68,6
PORCE,PORCELANATO,3.00,3.00,3.00,3.00,6
12345,propp,9.00,7.00,9.00,9.00,10
123,prueba,0.30,0.10,0.90,0.30,6
PDBBPX12,PULS.DIAMT DE BRASIL BOLA/PLANCHA x 12,3.50,3.50,4.38,3.50,6
PULSAG,PULSERA AGATA,3.90,3.90,4.88,3.90,6
PULSDIA,PULSERA CON DIAMANTE,5.80,5.80,5.80,5.80,6
PULCN,PULSERA CONCHA NATURAL,1.25,1.25,1.50,1.25,6
PULCNOF,PULSERA CONCHA NATURAL OFERTA,0.45,0.45,0.45,0.45,6
PRGT,PULSERA DE RECORTE GRANDE TAGUA,1.79,1.79,1.79,1.79,6
PRMT,PULSERA DE RECORTE MED. TAGUA,0.68,0.68,0.68,0.68,6
PDBTX12,PULSERA DIAMANTE DE BRASIL TUBO x 12,1.30,1.30,1.56,1.30,6
PULGTA,PULSERA GOTA TAGUA,1.20,1.20,1.50,1.20,6
PMPL,PULSERA MADERA CON PLACA LARGA,0.78,0.78,0.98,0.78,6
PPM,PULSERA PEPA MADERA,0.42,0.42,0.44,0.42,6
PULC,PULSERAS DE COCO,0.75,0.75,0.75,0.75,6
RAND14,RANDELA # 14,8.25,8.25,10.31,8.25,6
RAND12,RANDELAS # 12,6.05,6.05,7.57,6.05,6
RAND10,RANDELAS - BOLA # 10,5.75,5.75,7.19,5.75,6
RBBO08,RANDELAS - BOLA # 8,5.25,5.25,6.56,5.25,6
RRBO04,RANDELAS - ROMBO - BOLA # 04,3.25,3.25,4.06,3.25,6
RRBO06,RANDELAS - ROMBO- BOLA # 6,4.75,4.75,5.94,4.75,6
REATXR,REATA x ROLLO,9.60,9.60,12.00,9.60,6
RECTAG,RECORTE TAGUA,0.08,0.08,0.10,0.08,6
RMETMU,RELOJ METALICO PARA MUJER,4.00,4.00,4.00,4.00,6
RELHOM,RELOJ PARA HOMBRE,4.00,4.00,4.00,4.00,6
RPUYCO,RELOJ PARA PULSERA Y COLLAR,2.90,2.90,3.63,2.90,6
RC/B,RESORTES COBRE / BRONCE,0.53,0.53,0.53,0.53,6
RC/BF,RESORTES COBRE / BRONCE FDA/GDE,4.00,4.00,4.80,4.00,6
RESNIQF,RESORTES FDA/GDE,6.00,6.00,7.20,6.00,6
RESNIQ,RESORTES NIQUEL,0.75,0.75,0.75,0.75,6
REB2X2,RETENEDOR BOLA 2 x 2,2.31,2.31,2.31,2.31,6
REB2X2F,RETENEDOR BOLA 2 x 2 FDA/GDE,18.50,18.50,22.20,18.50,3
RTU1X1,RETENEDOR TUBO 1.5 x 1.5,0.59,0.59,0.59,0.59,6
RTU1X1F,RETENEDOR TUBO 1.5 x 1.5  FDA/GDE,4.50,4.50,5.40,4.50,3
RTU2X1,RETENEDOR TUBO 2 x 1,0.76,0.76,0.76,0.76,6
RTU2X1F,RETENEDOR TUBO 2 x 1 FDA/GDE,6.00,6.00,7.20,6.00,6
REVI11,REVISTA # 11,2.00,2.00,2.40,2.00,6
REVI07,REVISTA #7,2.10,2.10,2.63,2.10,6
R56891,REVISTA ( 5 - 6 - 8-9-10,1.75,1.75,2.19,1.75,6
REVI23,REVISTA DE BISUTERIA 2-3-4,1.50,1.50,1.88,1.50,6
RALJG,ROLLO ALAMBRE DE JOYERIA/GDE,1.50,1.50,1.89,1.50,6
RALJP,ROLLO ALAMBRE JOYERIA PEQ/,0.50,0.50,0.60,0.50,6
ROLLCS,ROLLO CORDON DE SEDA,5.50,5.50,5.50,5.50,6
ROALGU,ROLLO DE ALAMBRE / GUAYA,1.50,1.50,1.88,1.50,6
RH/TEJ,ROLLO HILO PARA TEJER,5.50,5.50,6.93,5.50,3
RHP/DP,ROLLO HILO PLATEADO/DORADO PEQ/,0.50,0.50,0.60,0.50,6
RN/ELAS,ROLLO NAYLON ELASTICO,9.50,9.50,11.40,9.50,6
ROSARIO,ROSARIO,2.68,2.68,2.68,2.68,6
SEPD10,SEP. DIAMANTE # 10,0.00,0.00,0.17,0.00,6
SD10X100,SEP. DIAMANTE # 10 X 100,12.80,12.80,15.36,12.80,3
SEPD06,SEP. DIAMANTE # 6,0.11,0.11,0.11,0.11,6
SD08X100,SEP. DIAMANTE # 8 X 100,9.50,9.50,11.40,9.50,3
